hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
167,97,20,45,84,251,499,869,1474,1686,1822,1575,3315,2294,2774,2995,3306,4569,3380,1471,1055,613,250,82
150,72,20,59,106,234,477,793,1409,2429,1825,1842,4650,2434,2694,4206,5212,3794,2640,1794,966,831,180,100
119,105,29,51,97,220,463,1111,1276,1626,2446,1852,3523,3489,2191,3721,5186,4359,3089,1404,992,700,195,128
157,81,20,56,68,219,626,1050,961,2417,2068,1977,3407,2882,2305,4410,4708,4584,2537,1477,878,739,176,87
115,107,21,64,73,180,420,1040,1306,2429,2593,2090,3367,2414,2647,3264,3211,4875,2894,1327,721,563,185,118
126,114,19,39,102,197,453,1067,1228,2284,2545,2109,4266,2309,2997,3183,4583,4549,2874,1849,1012,767,233,123
109,83,24,40,97,238,433,1121,981,1932,2361,1959,3403,3002,2595,4052,4978,4436,3998,1689,698,520,187,102
151,106,20,57,102,186,567,1184,1408,1545,2703,2036,4999,3655,1924,3230,3637,3613,2815,2013,745,776,269,92
160,92,25,43,71,237,505,1058,1477,2121,2723,2135,4361,2857,2154,3805,4959,5001,3325,1949,818,807,207,127
126,86,28,41,77,176,638,1226,1186,1827,2245,1916,5159,3470,2810,2991,4708,4736,2749,1962,1040,606,220,114
145,97,21,58,84,271,501,807,1152,2231,2764,2436,4192,2850,2424,3523,4345,3845,3028,1814,870,756,260,82
122,101,25,40,101,274,496,1092,1264,1891,2495,1950,4181,3418,2622,4305,3248,5215,2864,1713,1019,808,283,97
140,92,23,58,81,197,412,1039,906,1605,2087,1543,5341,2830,2461,3248,3649,4643,3127,1623,779,803,225,94
131,81,28,58,83,260,431,1100,1424,2090,1891,1476,3893,2861,2312,4437,4256,4292,2979,1744,696,598,207,108
120,75,22,46,80,246,617,797,1164,1600,2854,2100,4119,3469,2346,3630,3561,3878,3485,1595,923,776,265,119
122,99,29,59,98,238,617,1137,1494,1661,1974,1678,3284,3118,2991,3064,4075,3397,3422,1622,724,803,253,83
115,69,27,40,88,228,421,754,925,1910,2333,2084,3549,2908,1957,3487,5117,5094,3855,1451,711,815,239,81
164,74,20,41,93,271,550,947,1084,2262,2799,1839,4788,2623,2251,3693,3940,4856,3629,1323,706,598,190,123
113,95,29,46,82,207,519,1010,1315,2192,2549,1642,4497,2420,1861,2795,5281,3238,3042,1333,746,696,221,87
156,77,18,40,97,188,416,764,965,1583,2169,2097,4188,3361,1985,2897,5218,4213,3629,1718,728,527,241,114
117,76,29,49,109,183,511,1005,1245,1521,2271,2227,4582,3308,2100,3645,3733,3661,3470,2027,1047,770,185,120
153,114,22,43,106,271,594,888,913,2137,2570,2219,5060,2509,2950,3660,3983,3266,4004,1319,814,658,270,124
107,80,29,41,88,252,583,1030,1308,2050,2598,1878,3626,3029,2978,3419,3882,3420,2715,1752,827,665,201,122
