datetime_beginning_ept,pnode_id,total_lmp_rt
12/1/2021 0:00,48592,45.63
12/1/2021 1:00,48592,38.67
12/1/2021 2:00,48592,36.64
12/1/2021 3:00,48592,39.41
12/1/2021 4:00,48592,50.09
12/1/2021 5:00,48592,40.1
12/1/2021 6:00,48592,43.54
12/1/2021 7:00,48592,50.38
12/1/2021 8:00,48592,45.32
12/1/2021 9:00,48592,47.04
12/1/2021 10:00,48592,44.68
12/1/2021 11:00,48592,49.07
12/1/2021 12:00,48592,42.82
12/1/2021 13:00,48592,44.17
12/1/2021 14:00,48592,45.94
12/1/2021 15:00,48592,42.09
12/1/2021 16:00,48592,59.44
12/1/2021 17:00,48592,52.13
12/1/2021 18:00,48592,49.33
12/1/2021 19:00,48592,41.47
12/1/2021 20:00,48592,36.84
12/1/2021 21:00,48592,33.24
12/1/2021 22:00,48592,31.02
12/1/2021 23:00,48592,28.71
12/2/2021 0:00,48592,28.97
12/2/2021 1:00,48592,28.43
12/2/2021 2:00,48592,28.23
12/2/2021 3:00,48592,28.04
12/2/2021 4:00,48592,28.25
12/2/2021 5:00,48592,28.7
12/2/2021 6:00,48592,28.41
12/2/2021 7:00,48592,34.07
12/2/2021 8:00,48592,30.52
12/2/2021 9:00,48592,31.49
12/2/2021 10:00,48592,31.02
12/2/2021 11:00,48592,31.14
12/2/2021 12:00,48592,33.03
12/2/2021 13:00,48592,30.24
12/2/2021 14:00,48592,34.82
12/2/2021 15:00,48592,30.63
12/2/2021 16:00,48592,69.06
12/2/2021 17:00,48592,40.97
12/2/2021 18:00,48592,39.78
12/2/2021 19:00,48592,31.64
12/2/2021 20:00,48592,38.81
12/2/2021 21:00,48592,42.96
12/2/2021 22:00,48592,30.63
12/2/2021 23:00,48592,28.33
12/3/2021 0:00,48592,30
12/3/2021 1:00,48592,29.92
12/3/2021 2:00,48592,27.43
12/3/2021 3:00,48592,27.2
12/3/2021 4:00,48592,29.04
12/3/2021 5:00,48592,32.73
12/3/2021 6:00,48592,42.5
12/3/2021 7:00,48592,35.02
12/3/2021 8:00,48592,34.58
12/3/2021 9:00,48592,33.27
12/3/2021 10:00,48592,40.64
12/3/2021 11:00,48592,40.66
12/3/2021 12:00,48592,34.18
12/3/2021 13:00,48592,35.65
12/3/2021 14:00,48592,39.57
12/3/2021 15:00,48592,39.78
12/3/2021 16:00,48592,45.82
12/3/2021 17:00,48592,50.51
12/3/2021 18:00,48592,44.33
12/3/2021 19:00,48592,39.52
12/3/2021 20:00,48592,39.81
12/3/2021 21:00,48592,36.05
12/3/2021 22:00,48592,35.4
12/3/2021 23:00,48592,32.09
12/4/2021 0:00,48592,36.12
12/4/2021 1:00,48592,37.83
12/4/2021 2:00,48592,35.44
12/4/2021 3:00,48592,37.76
12/4/2021 4:00,48592,40.94
12/4/2021 5:00,48592,55.5
12/4/2021 6:00,48592,35.17
12/4/2021 7:00,48592,47.24
12/4/2021 8:00,48592,46.68
12/4/2021 9:00,48592,34.19
12/4/2021 10:00,48592,31.04
12/4/2021 11:00,48592,27.9
12/4/2021 12:00,48592,31.62
12/4/2021 13:00,48592,29.54
12/4/2021 14:00,48592,30.83
12/4/2021 15:00,48592,31.83
12/4/2021 16:00,48592,71.51
12/4/2021 17:00,48592,52.31
12/4/2021 18:00,48592,33.91
12/4/2021 19:00,48592,29.31
12/4/2021 20:00,48592,29.62
12/4/2021 21:00,48592,34.79
12/4/2021 22:00,48592,43.25
12/4/2021 23:00,48592,39.09
12/5/2021 0:00,48592,31.19
12/5/2021 1:00,48592,28.3
12/5/2021 2:00,48592,31.95
12/5/2021 3:00,48592,31.65
12/5/2021 4:00,48592,28.13
12/5/2021 5:00,48592,27.22
12/5/2021 6:00,48592,29.13
12/5/2021 7:00,48592,29.27
